is_public,is_verified,reviewee_firebase_uid,reviewer_firebase_uid,review_type,title,helpful_count,id,rating,comment,created_at,updated_at,offer_uuid,property_uuid,review_uuid,review_window_id
"true","false","'VBA14JGUH7N2XoVa5PbFbg9wEzE2'","'d2pdgjkyOkM6HbI9WKvK174sYvh1'","'tenant_to_landlord'","null","0","2","5","'good experience and fast responder'","'2025-08-17T11:57:09.068+00:00'","'2025-08-17T11:57:09.068+00:00'","'bba53686-37c4-4013-b126-546998673916'","'e9b1ba33-18b7-45cf-baab-5d6cfceae7b3'","'e44f5d40-8309-4b2c-94ab-b1255d645880'","null"
"true","false","'xixfqnpsDHN6jOZMZkPnIg0wxiD3'","'d2pdgjkyOkM6HbI9WKvK174sYvh1'","'landlord_to_tenant'","null","0","4","4","'This landlord was great! Super swift to answer'","'2025-09-19T14:05:02.05+00:00'","'2025-09-19T14:05:02.05+00:00'","'aa4d02af-74b0-4930-aae6-cb1a263f5228'","'6bda21e0-21f5-4fe4-83fd-768ae09b909d'","'0af1a4a5-9eaa-4419-9089-67d8bb9ebb7a'","null"
"true","false","'w3SdkDhFxPZlxQSTqnJPVROuY603'","'d2pdgjkyOkM6HbI9WKvK174sYvh1'","'landlord_to_tenant'","null","0","5","5","'What a great experience with this user. Very swift talker and no profanity. Great person.'","'2025-10-01T13:54:42.401+00:00'","'2025-10-01T13:54:42.401+00:00'","'1207f6ab-b327-4490-ae65-d6afdb94a44e'","'e99af96d-487e-48c2-8ca6-5a8350c366bd'","'25eda4de-df06-4d7d-85d8-2147d532be4f'","null"
