is_active,room_type,title,created_at,last_message_at,updated_at,id
"true","'support'","'Support Chat'","'2025-08-21T01:25:26.265464+00:00'","'2025-08-21T01:25:26.265464+00:00'","'2025-08-21T01:25:26.265464+00:00'","'f82d48f6-9396-41b7-a815-fe3595977db1'"
"true","'direct'","'Sample Chat Room'","'2025-08-21T15:15:26.231268+00:00'","'2025-08-21T15:15:26.353356+00:00'","'2025-08-21T15:15:26.353356+00:00'","'5fbddc38-ca60-40f4-a7e7-3ec0776395b4'"
"true","'direct'","'Sample Chat Room'","'2025-08-21T15:26:26.291203+00:00'","'2025-08-21T15:26:26.404052+00:00'","'2025-08-21T15:26:26.404052+00:00'","'c17f5fdb-3f47-49c7-b5d1-7af1fbb8ab04'"
"true","'direct'","'Sample Chat Room'","'2025-08-21T15:26:26.627806+00:00'","'2025-08-21T15:26:26.729697+00:00'","'2025-08-21T15:26:26.729697+00:00'","'67ed8af9-9f51-48c4-ac41-3613c4dea7ff'"
"true","'direct'","'Sample Chat Room'","'2025-08-21T15:26:26.834813+00:00'","'2025-08-21T15:26:26.950617+00:00'","'2025-08-21T15:26:26.950617+00:00'","'d4c0db41-cf49-49b3-8da3-5f1bde2e405d'"
"true","'direct'","null","'2025-08-21T15:17:07.462842+00:00'","'2025-09-03T01:20:55.621126+00:00'","'2025-09-03T01:20:55.621126+00:00'","'eef46c3a-d6dd-49c5-a2f2-825b69d1b9af'"
"true","'direct'","null","'2025-08-21T15:15:04.499655+00:00'","'2025-09-20T06:34:22.790728+00:00'","'2025-09-20T06:34:22.790728+00:00'","'da654bdb-8ddb-4c47-bd99-5915ba959570'"
"true","'direct'","null","'2025-09-14T14:34:15.888327+00:00'","'2025-09-22T03:31:59.019353+00:00'","'2025-09-22T03:31:59.019353+00:00'","'74c3c642-c17f-4cb1-beaf-4311b817af98'"
"true","'direct'","null","'2025-09-28T08:07:21.569182+00:00'","'2025-09-28T08:09:17.529771+00:00'","'2025-09-28T08:09:17.529771+00:00'","'bb2c8ede-9df1-4df6-97c8-614d9ef31d0d'"
